node_id	coding	meaning	parent_id	depth	top_branch_id	top_branch_code	selectable
90	Chapter IX	Chapter IX Diseases of the circulatory system	0	0	90	Chapter IX	N
1130	Block I00-I02	I00-I02 Acute rheumatic fever	90	1	1130	Block I00-I02	N
1140	Block I05-I09	I05-I09 Chronic rheumatic heart diseases	90	1	1140	Block I05-I09	N
1150	Block I10-I15	I10-I15 Hypertensive diseases	90	1	1150	Block I10-I15	N
1160	Block I20-I25	I20-I25 Ischaemic heart diseases	90	1	1160	Block I20-I25	N
1170	Block I26-I28	I26-I28 Pulmonary heart disease and diseases of pulmonary circulation	90	1	1170	Block I26-I28	N
1180	Block I30-I52	I30-I52 Other forms of heart disease	90	1	1180	Block I30-I52	N
1190	Block I60-I69	I60-I69 Cerebrovascular diseases	90	1	1190	Block I60-I69	N
1200	Block I70-I79	I70-I79 Diseases of arteries, arterioles and capillaries	90	1	1200	Block I70-I79	N
1210	Block I80-I89	I80-I89 Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified	90	1	1210	Block I80-I89	N
1220	Block I95-I99	I95-I99 Other and unspecified disorders of the circulatory system	90	1	1220	Block I95-I99	N
40110	I00	I00 Rheumatic fever without mention of heart involvement	1130	2	1130	Block I00-I02	Y
40120	I01	I01 Rheumatic fever with heart involvement	1130	2	1130	Block I00-I02	Y
40180	I02	I02 Rheumatic chorea	1130	2	1130	Block I00-I02	Y
40210	I05	I05 Rheumatic mitral valve diseases	1140	2	1140	Block I05-I09	Y
40270	I06	I06 Rheumatic aortic valve diseases	1140	2	1140	Block I05-I09	Y
40330	I07	I07 Rheumatic tricuspid valve diseases	1140	2	1140	Block I05-I09	Y
40390	I08	I08 Multiple valve diseases	1140	2	1140	Block I05-I09	Y
40460	I09	I09 Other rheumatic heart diseases	1140	2	1140	Block I05-I09	Y
40520	I10	I10 Essential (primary) hypertension	1150	2	1150	Block I10-I15	Y
40530	I11	I11 Hypertensive heart disease	1150	2	1150	Block I10-I15	Y
40560	I12	I12 Hypertensive renal disease	1150	2	1150	Block I10-I15	Y
40590	I13	I13 Hypertensive heart and renal disease	1150	2	1150	Block I10-I15	Y
40640	I15	I15 Secondary hypertension	1150	2	1150	Block I10-I15	Y
40700	I20	I20 Angina pectoris	1160	2	1160	Block I20-I25	Y
40750	I21	I21 Acute myocardial infarction	1160	2	1160	Block I20-I25	Y
40830	I22	I22 Subsequent myocardial infarction	1160	2	1160	Block I20-I25	Y
40880	I23	I23 Certain current complications following acute myocardial infarction	1160	2	1160	Block I20-I25	Y
40970	I24	I24 Other acute ischaemic heart diseases	1160	2	1160	Block I20-I25	Y
41020	I25	I25 Chronic ischaemic heart disease	1160	2	1160	Block I20-I25	Y
41120	I26	I26 Pulmonary embolism	1170	2	1170	Block I26-I28	Y
41150	I27	I27 Other pulmonary heart diseases	1170	2	1170	Block I26-I28	Y
41210	I28	I28 Other diseases of pulmonary vessels	1170	2	1170	Block I26-I28	Y
41260	I30	I30 Acute pericarditis	1180	2	1180	Block I30-I52	Y
41310	I31	I31 Other diseases of pericardium	1180	2	1180	Block I30-I52	Y
41380	I32	I32 Pericarditis in diseases classified elsewhere	1180	2	1180	Block I30-I52	Y
41420	I33	I33 Acute and subacute endocarditis	1180	2	1180	Block I30-I52	Y
41450	I34	I34 Nonrheumatic mitral valve disorders	1180	2	1180	Block I30-I52	Y
41510	I35	I35 Nonrheumatic aortic valve disorders	1180	2	1180	Block I30-I52	Y
41570	I36	I36 Nonrheumatic tricuspid valve disorders	1180	2	1180	Block I30-I52	Y
41630	I37	I37 Pulmonary valve disorders	1180	2	1180	Block I30-I52	Y
41690	I38	I38 Endocarditis, valve unspecified	1180	2	1180	Block I30-I52	Y
41700	I39	I39 Endocarditis and heart valve disorders in diseases classified elsewhere	1180	2	1180	Block I30-I52	Y
41770	I40	I40 Acute myocarditis	1180	2	1180	Block I30-I52	Y
41820	I41	I41 Myocarditis in diseases classified elsewhere	1180	2	1180	Block I30-I52	Y
41870	I42	I42 Cardiomyopathy	1180	2	1180	Block I30-I52	Y
41980	I43	I43 Cardiomyopathy in diseases classified elsewhere	1180	2	1180	Block I30-I52	Y
42030	I44	I44 Atrioventricular and left bundle-branch block	1180	2	1180	Block I30-I52	Y
42120	I45	I45 Other conduction disorders	1180	2	1180	Block I30-I52	Y
42220	I46	I46 Cardiac arrest	1180	2	1180	Block I30-I52	Y
42260	I47	I47 Paroxysmal tachycardia	1180	2	1180	Block I30-I52	Y
42310	I48	I48 Atrial fibrillation and flutter	1180	2	1180	Block I30-I52	Y
42380	I49	I49 Other cardiac arrhythmias	1180	2	1180	Block I30-I52	Y
42470	I50	I50 Heart failure	1180	2	1180	Block I30-I52	Y
42510	I51	I51 Complications and ill-defined descriptions of heart disease	1180	2	1180	Block I30-I52	Y
42620	I52	I52 Other heart disorders in diseases classified elsewhere	1180	2	1180	Block I30-I52	Y
42660	I60	I60 Subarachnoid haemorrhage	1190	2	1190	Block I60-I69	Y
42770	I61	I61 Intracerebral haemorrhage	1190	2	1190	Block I60-I69	Y
42870	I62	I62 Other nontraumatic intracranial haemorrhage	1190	2	1190	Block I60-I69	Y
42910	I63	I63 Cerebral infarction	1190	2	1190	Block I60-I69	Y
43010	I64	I64 Stroke, not specified as haemorrhage or infarction	1190	2	1190	Block I60-I69	Y
43020	I65	I65 Occlusion and stenosis of precerebral arteries, not resulting in cerebral infarction	1190	2	1190	Block I60-I69	Y
43090	I66	I66 Occlusion and stenosis of cerebral arteries, not resulting in cerebral infarction	1190	2	1190	Block I60-I69	Y
43170	I67	I67 Other cerebrovascular diseases	1190	2	1190	Block I60-I69	Y
43280	I68	I68 Cerebrovascular disorders in diseases classified elsewhere	1190	2	1190	Block I60-I69	Y
43330	I69	I69 Sequelae of cerebrovascular disease	1190	2	1190	Block I60-I69	Y
43400	I70	I70 Atherosclerosis	1200	2	1200	Block I70-I79	Y
43560	I71	I71 Aortic aneurysm and dissection	1200	2	1200	Block I70-I79	Y
43660	I72	I72 Other aneurysm	1200	2	1200	Block I70-I79	Y
43760	I73	I73 Other peripheral vascular diseases	1200	2	1200	Block I70-I79	Y
43810	I74	I74 Arterial embolism and thrombosis	1200	2	1200	Block I70-I79	Y
43900	I77	I77 Other disorders of arteries and arterioles	1200	2	1200	Block I70-I79	Y
44000	I78	I78 Diseases of capillaries	1200	2	1200	Block I70-I79	Y
44050	I79	I79 Disorders of arteries, arterioles and capillaries in diseases classified elsewhere	1200	2	1200	Block I70-I79	Y
44100	I80	I80 Phlebitis and thrombophlebitis	1210	2	1210	Block I80-I89	Y
